name,lon,lat
8号线军运村,114.2991552946128,30.43151924348279
8号线黄家湖地铁小镇,113.32187497171148,23.16532797096623
8号线野芷湖,114.3477849735649,30.471662909382148
8号线塔子湖,114.29426096687223,30.64398173318144
8号线马湖,103.55453189316049,30.292450923454216
8号线省农科院,113.32187497171148,23.16532797096623
8号线竹叶山,114.29217537096972,30.627474155473445
8号线赵家条,114.30760897827554,30.629845895024496
8号线文治街,113.32187497171148,23.16532797096623
8号线马房山,114.35625590469344,30.52095137586495
8号线徐家棚,114.33715685595047,30.588382412792226
8号线徐东,114.35420103083936,30.594273119760194
8号线小洪山,105.81772862194163,29.883417779592305
8号线汪家墩,119.87534713252797,30.351360490119395
8号线岳家嘴,114.36928977865992,30.58183006654155
8号线水果湖,114.34861222310903,30.560430716066386
8号线中南医院,109.4106366130603,24.323177316869687
8号线省博湖北日报,113.32187497171148,23.16532797096623
6号线大智路,118.81701217900003,32.03732331595984
6号线香港路,118.81701217900003,32.03732331595984
6号线江汉路,118.81701217900003,32.03732331595984
6号线六渡桥,121.52746156956636,30.05316346714876
6号线唐家墩,120.12315099559395,30.473788016192363
6号线汉正街,118.81701217900003,32.03732331595984
6号线武胜路,118.81701217900003,32.03732331595984
6号线杨汊湖,114.26760168476096,30.641484039799857
6号线琴台,120.50553647490939,31.270008282518555
6号线常青花园,114.25718996457812,30.644653858297557
6号线钟家村,121.22443914572588,31.38269667943434
6号线轻工大学,114.22892576984273,30.659446251444018
6号线园博园北,116.19727474736566,39.8818995615281
6号线建港,121.84800016124085,31.036517804975316
6号线金银湖,119.992017560312,30.14780910622891
6号线前进村,121.75866170200142,31.124503585038569
6号线金银湖公园,114.20940604026365,30.674861835933347
6号线国博中心北,118.90292647729652,32.116389283712297
6号线海口三路,118.81701217900003,32.03732331595984
6号线国博中心南,118.90292647729652,32.116389283712297
6号线二雅路,118.81701217900003,32.03732331595984
6号线老关村,105.69819731808,30.25356434064871
6号线五环体育中心,114.1403125126415,30.64298887776402
6号线江城大道,118.81701217900003,32.03732331595984
6号线码头潭公园,113.24285687501065,23.197499059855184
6号线车城东路,118.81701217900003,32.03732331595984
5号线武汉站东广场,114.43341172426766,30.613474265912598
5号线三层楼,120.15085060531631,36.04271115075375
5号线徐家棚,114.33715685595047,30.588382412792226
5号线杨园铁四院,121.63961053039175,31.31128169818601
5号线昙华林武胜门,121.53652925447737,31.27367261347578
5号线余家头,119.61488614482637,30.310723423638817
5号线司门口黄鹤楼,114.30700819155048,30.552681723513208
5号线科普公园,116.58117342231268,39.70464864386316
5号线彭刘杨,120.62973869303836,27.42417040804937
5号线和平公园,116.26155560321812,39.95517255992978
5号线红钢城,114.40725953561676,30.643621317446564
5号线烽火村,103.79695831978265,30.353941681045709
